Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type,Goal_assist
22-23,Ligue 1,3,21-08-22,A,Paris Saint-Germain,LOSC Lille,1:07,AM,27,Right-footed shot,Nuno Mendes
22-23,Champions League,Group Stage,14-09-22,A,Paris Saint-Germain,Maccabi Haifa,1:03,SS,37,Left-footed shot,
22-23,Ligue 1,8,18-09-22,A,Paris Saint-Germain,Olympique Lyon,0:01,AM,5,Left-footed shot,Neymar
22-23,Ligue 1,9,01-10-22,H,Paris Saint-Germain,OGC Nice,2:1,AM,28,Direct free kick,
22-23,UEFA Champions League,Group Stage,05-10-22,A,Paris Saint-Germain,SL Benfica,1:1,AM,22,Left-footed shot,Neymar
22-23,Ligue 1,12,21-10-22,A,Paris Saint-Germain,AC Ajaccio,0:3,CF,78,Left-footed shot,Kylian Mbappe
22-23,UEFA Champions League,Group Stage,25-10-22,H,Paris Saint-Germain,Maccabi Haifa,7:2,SS,19,Left-footed shot,Kylian Mbappe
22-23,UEFA Champions League,Group Stage,25-10-22,H,Paris Saint-Germain,Maccabi Haifa,7:2,SS,44,Left-footed shot,Kylian Mbappe
22-23,Ligue 1,13,29-10-22,H,Paris Saint-Germain,ESTAC Troyes,4:3,RW,55,Left-footed shot,Sergio Ramos
22-23,Ligue 1,18,11-01-23,H,Paris Saint-Germain,Angers SCO,2:0,AM,72,Right-footed shot,Nordi Mukiele
22-23,Ligue 1,21,01-02-23,A,Paris Saint-Germain,Montpellier HSC,1:3,SS,72,Left-footed shot,Fabi�n Ruiz
22-23,Ligue 1,22,04-02-23,H,Paris Saint-Germain,FC Toulouse,2:1,SS,58,Left-footed shot,Achraf Hakimi
22-23,Ligue 1,24,19-02-23,H,Paris Saint-Germain,LOSC Lille,4:3,CF,90+5,Direct free kick,"	"
22-23,Ligue 1,25,26-02-23,A,Paris Saint-Germain,Olympique Marseille,0:3,CF,29,Right-footed shot,Kylian Mbapp�
22-23,Ligue 1,26,04-03-23,H,Paris Saint-Germain,FC Nantes,4:2,CF,12,Left-footed shot,
